Data,Cliques,Impressões,CTR,Posição
2025-11-09,8,3443,0.23%,7.76
2025-11-08,6,3492,0.17%,8.66
2025-11-07,11,4785,0.23%,7.35
2025-11-06,10,5200,0.19%,6.92
2025-11-05,19,5272,0.36%,6.96
2025-11-04,13,5618,0.23%,7.05
2025-11-03,17,5756,0.3%,7.47
2025-11-02,10,3909,0.26%,7.53
2025-11-01,6,3454,0.17%,8.76
2025-10-31,10,5601,0.18%,8.78
2025-10-30,16,4761,0.34%,7.19
2025-10-29,20,4594,0.44%,7.24
2025-10-28,14,4298,0.33%,8.24
2025-10-27,10,4454,0.22%,7.67
2025-10-26,4,2896,0.14%,8.25
2025-10-25,9,2589,0.35%,9.38
2025-10-24,16,3505,0.46%,7.79
2025-10-23,14,4199,0.33%,7.69
2025-10-22,14,3981,0.35%,8.51
2025-10-21,8,3831,0.21%,7.57
2025-10-20,11,3822,0.29%,7.61
2025-10-19,6,2260,0.27%,8.78
2025-10-18,10,2369,0.42%,11.55
2025-10-17,5,3224,0.16%,8.87
2025-10-16,20,3748,0.53%,8.78
2025-10-15,7,3203,0.22%,8.53
2025-10-14,10,3812,0.26%,8.9
2025-10-13,7,3450,0.2%,8.68